programCode,university,facultyName,program,majorName,detail,year,round,minScore,avgScore,maxScore,seats
50310129120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์  มหาวิทยาลัยศรีนครินทรวิโรฒ,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยศรีนครินทรวิโรฒ,ภาษาไทย,,2568,3,67.5785,68.657,69.7356,35
50310128120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์  มหาวิทยาลัยสงขลานครินทร์,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยสงขลานครินทร์,ภาษาไทย,,2568,3,65.6947,69.3218,72.9488,21
50310125120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรทันตแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย,,2568,3,73.3795,80.2362,87.093,53
50310137120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยกรุงเทพธนบุรี (สถาบันเอกชน),ทันตแพทยศาสตรบัณฑิต,ภาษาไทย,,2568,3,46.5807,49.9436,53.3064,10
50310130120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยขอนแก่น,ภาษาไทย,,2568,3,66.9738,68.3051,69.6365,10
50310127120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่,ภาษาไทย,,2568,3,68.073,71.7292,75.3855,15
50310131120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยธรรมศาสตร์,ภาษาไทย,,2568,3,68.9352,71.3418,73.7485,30
50310132120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยนเรศวร,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยนเรศวร,ภาษาไทย,,2568,3,64.2709,65.479,66.6871,53
50310134120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเนชั่น (สถาบันเอกชน),หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเนชั่น (สถาบันเอกชน),ภาษาไทย,,2568,3,44.6137,48.1361,51.6585,20
50310126120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยมหิดล,ภาษาไทย,,2568,3,70.0685,76.7508,83.4331,80
50310135120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),ภาษาไทย,,2568,3,50.7044,56.3088,61.9132,60
50310138120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยสยาม (สถาบันเอกชน),ทันตแพทยศาสตรบัณฑิต,ภาษาไทย,,2568,3,42.7507,47.6829,52.615,30
50310102100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย,,2568,3,77.0469,82.9832,88.9196,176
50310103100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย – กรมแพทย์ทหารอากาศ กองทัพอากาศ,หลักสูตรแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย - กรมแพทย์ทหารอากาศ,ภาษาไทย,,2568,3,72.6658,74.7649,76.8641,30
50310124100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,แพทยศาสตรบัณฑิต,ภาษาไทย,,2568,3,67.2459,69.5892,71.9324,28
50310101100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยขอนแก่น,ภาษาไทย,,2568,3,69.8996,71.2807,72.6618,21
50310104100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่,ภาษาไทย,,2568,3,69.5129,72.2053,74.8976,41
50310105100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยธรรมศาสตร์,ภาษาไทย,,2568,3,71.5899,72.3803,73.1708,78
50310106100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยนเรศวร,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยนเรศวร,ภาษาไทย,,2568,3,66.5364,69.1972,71.8581,35
50310122100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),แพทยศาสตรบัณฑิต,ภาษาไทย,,2568,3,53.0632,55.41,57.7569,10
50310112100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยศรีนครินทรวิโรฒ,ภาษาไทย,,2568,3,67.328,69.0175,70.707,136
50310113100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยสงขลานครินทร์,ภาษาไทย,,2568,3,66.8952,69.8401,72.785,66
50310121100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยสยาม  (สถาบันเอกชน),หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยสยาม (สถาบันเอกชน),ภาษาไทย,,2568,3,54.6729,56.8353,58.9976,20
50310119100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์มหาวิทยาลัยบูรพา,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยบูรพา,ภาษาไทย,,2568,3,64.6964,65.9459,67.1953,64
50310107100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี  มหาวิทยาลัยมหิดล,หลักสูตรแพทยศาสตรบัณฑิต โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล,ภาษาไทย,,2568,3,73.1752,79.3683,85.5614,95
50310114100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์วชิรพยาบาล  มหาวิทยาลัยนวมินทราธิราช,หลักสูตรแพทยศาสตรบัณฑิต วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,ภาษาไทย,,2568,3,70.8141,71.899,72.9839,59
50310115100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์วชิรพยาบาล  มหาวิทยาลัยนวมินทราธิราช-โรงพยาบาลตากสิน สำนักการแพทย์กรุงเทพมหานคร,หลักสูตรแพทยศาสตรบัณฑิต วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช-โรงพยาบาลตากสิน สำนักการแพทย์กรุงเทพมหานคร,ภาษาไทย,,2568,3,70.282,70.5436,70.8053,20
50310108100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ศิริราชพยาบาล  มหาวิทยาลัยมหิดล,หลักสูตรแพทยศาสตรบัณฑิต ศิริราชพยาบาล มหาวิทยาลัยมหิดล,ภาษาไทย,,2568,3,73.9878,79.2062,84.4246,167
