programCode,university,facultyName,program,majorName,detail,weightsYear,estMinScore,tgat,tgat1,tgat2,tgat3,tpat1,tpat11,tpat12,tpat13,tpat2,tpat21,tpat22,tpat23,tpat3,tpat4,tpat5,a_lv_61,a_lv_62,a_lv_63,a_lv_64,a_lv_65,a_lv_66,a_lv_70,a_lv_81,a_lv_82,a_lv_83,a_lv_84,a_lv_85,a_lv_86,a_lv_87,a_lv_88,a_lv_89
50310126120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์  มหาวิทยาลัยศรีนครินทรวิโรฒ,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยศรีนครินทรวิโรฒ,ภาษาไทย,,2569,67.1872,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310125120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์  มหาวิทยาลัยสงขลานครินทร์,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยสงขลานครินทร์,ภาษาไทย,,2569,65.1893,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310122120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรทันตแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย,,2569,73.3284,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310137120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยกรุงเทพธนบุรี (สถาบันเอกชน),ทันตแพทยศาสตรบัณฑิต,ภาษาไทย,,2568,48.0318,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310127120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยขอนแก่น,ภาษาไทย,,2569,66.4329,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310124120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่,ภาษาไทย,,2569,67.0786,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310128120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยธรรมศาสตร์,ภาษาไทย,,2569,68.544,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310129120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยนเรศวร,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยนเรศวร,ภาษาไทย,,2569,63.8121,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310131120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเนชั่น (สถาบันเอกชน),หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเนชั่น (สถาบันเอกชน),ภาษาไทย,,2569,34.8178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310123120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยมหิดล,ภาษาไทย,,2569,69.6262,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310132120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),ภาษาไทย,,2569,34.8178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310138120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยสยาม (สถาบันเอกชน),ทันตแพทยศาสตรบัณฑิต,ภาษาไทย,,2568,34.8178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310102100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย,,2569,77.0474,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310103100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย – กรมแพทย์ทหารอากาศ กองทัพอากาศ,หลักสูตรแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย - กรมแพทย์ทหารอากาศ,ภาษาไทย,,2569,72.369,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310124100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,แพทยศาสตรบัณฑิต,ภาษาไทย,,2569,66.7406,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310101100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยขอนแก่น,ภาษาไทย,,2569,69.4689,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310104100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่,ภาษาไทย,,2569,69.204,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
