ลำดับ,รหัสหลักสูตร,สถาบัน,วิทยาเขต,คณะ,หลักสูตร,แขนง/วิชาเอก,โครงการ,รูปแบบ,PAT,รหัสรับร่วม,รับ,สมัคร,ผ่าน,ยืนยันสิทธิ์,อัตราการแข่งขัน,คะแนนสูงสุด,คะแนนต่ำสุด
1,10010121300001A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,,คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมศาสตร์,Admission1,,,393,1137,403,393,1 : 2.89,90.0333,61.6753
2,10010121300001A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,,,Admission2,,,33,1070,36,33,1 : 32.42,24932.3400,21761.2000
3,10010121300501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,,,Admission1,,,50,555,52,50,1 : 11.1,95.5000,77.2587
4,10010121301101A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,,,Admission1,,,15,115,15,15,1 : 7.67,69.8000,55.9920
5,10010121301101A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,,,Admission2,,,5,104,5,5,1 : 20.8,21090.1500,20515.7500
6,10010121302101A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,,,Admission1,,,10,179,10,10,1 : 17.9,78.7000,68.3333
7,10010121302501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,,,Admission1,,,40,154,28,26,1 : 3.85,62.0753,51.6333
8,10010121302501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,,,Admission2,,,10,178,26,24,1 : 17.8,21718.2500,17500.0000
9,10010121302701A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ,,,Admission1,,,30,113,10,10,1 : 3.77,60.9667,51.7667
10,10010121302701A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ,,,Admission2,,,20,172,46,40,1 : 8.6,19854.5000,17387.1500
11,10010121302801A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,,,Admission1,,,30,197,30,29,1 : 6.57,65.2753,51.2333
12,10010121303001A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี,,,Admission1,,,30,114,13,11,1 : 3.8,68.2167,52.5333
13,10010121303001A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี,,,Admission2,,,5,247,30,24,1 : 49.4,19519.9500,17518.7500
14,10010121303501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,,,Admission1,,,5,100,5,5,1 : 20,84.5667,78.0333
