สถาบัน,วิทยาเขต,รหัสหลักสูตร,รหัสสาขา,รหัสโครงการ,คณะ,หลักสูตร,รายละเอียด,สาขา/วิชาเอก,รหัสรับร่วม,รับ,สมัคร,ผ่าน,คะแนนสูงสุด,คะแนนต่ำสุด,ผ่าน DS,คะแนนสูงสุด DS,คะแนนต่ำสุด DS
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121300001A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,,,,305,857,305,80.2664,54.6525,305,80.2664,54.1697
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121300501A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,,,,75,279,75,87.9798,65.9408,75,87.9798,65.4614
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121300599A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,,,,90,402,90,82.2091,61.1232,90,82.2091,60.8024
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121300601A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี,,,,5,115,5,77.3184,61.0700,5,77.3184,59.9318
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121301101A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,,,,15,150,15,64.1959,51.8766,15,64.1959,51.8766
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121301601A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,,,,15,265,15,83.1336,71.8747,15,83.1336,70.3116
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121302101A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,,,,25,104,25,73.4092,54.9197,25,73.4092,53.8152
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121302501A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,,,,30,164,30,54.7290,49.7129,30,54.7290,49.7086
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121302701A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ,,,,32,197,32,74.2306,51.9756,32,74.2306,50.9510
จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,10010121302801A,0,0,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,,,,20,147,20,60.0499,52.0636,18,60.0499,51.1793
